,review,label,tit_rev,bert_euclid_team,bert_cosine_team,flair_euclid_team,flair_cosine_team,tfidf_cos_preds,keywords_preds
25,Моей матери Дали книжку . В приложении книжки не котируются . Вводятся карты,Дебетовые карты в мобильном приложении;Плановый и досрочный перевыпуск дебетовых карт,Плохо Моей матери Дали книжку . В приложении книжки не котируются . Вводятся карты,Плановый и досрочный перевыпуск дебетовых карт,Плановый и досрочный перевыпуск дебетовых карт,СБОЛ. Классические переводы,СБОЛ. Классические переводы,Плановый и досрочный перевыпуск дебетовых карт,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'Дебетовые карты в мобильном приложении']"
26,Не могу даже зайти,iOS Platform;iOS Release Engineer,Вылетает из приложения после обновления Не могу даже зайти,Комиссионные продукты,Комиссионные продукты,iOS Platform,iOS Platform,iOS Release Engineer,[]
27,"1. Нет у вас виджета с балансом!
У вас есть виджет «Уведомления», который работает только с платной подпиской уведомления (на PUSH в том числе). А виджета с балансом без платных подписок у вас нет. Обратите внимание как это сделано у Альфа-Банка.

2. Платные PUSH? За что? Тинькофф шлёт push бесплатно! Ладно бы за СМС, но пуш?!",iOS Platform;PFM Бюджет;Global Navigation;Sberbank ID B2C;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,"Виджет баланс 1. Нет у вас виджета с балансом!
У вас есть виджет «Уведомления», который работает только с платной подпиской уведомления (на PUSH в том числе). А виджета с балансом без платных подписок у вас нет. Обратите внимание как это сделано у Альфа-Банка.

2. Платные PUSH? За что? Тинькофф шлёт push бесплатно! Ладно бы за СМС, но пуш?!",PUSH IOS,PUSH IOS,Sberbank ID B2C,iOS Platform,Телеком,"['Телеком', 'PUSH IOS', 'Sberbank ID B2C']"
28,"Спасибо Вам за такое прекрасное приложение!!!
Есть одна просьба к справке о доступном остатке, мне нужна была эта справка для визы и посольство требовало остаток по карте в рублях переведённый в евро на момент выдачи справки. Если бы  в справке автоматически указывался остаток не только в рублях ,но и  в долларах и евро переведённый на момент выдачи справки , я был бы очень вам благодарен,что бы не ехать в офис за ней.
Подписывайте справки электронной цифровой подписью, распечатанную подпись и Печать на принтере во многих местах не принимают( требуют оригинал печати и подписи)!
Если приложение Сбербанк открыто и производились какие- то операции ( списание пополнение д/с), что бы увидеть изменение приходиться закрывать приложение и входить в него заново , сделайте возможность просто обновить экран в приложении и увидеть изменения по движению д/с.
Сделайте возможность упорядочить Карты и вклады , в каком порядке надо пользователю !",Дебетовые карты в мобильном приложении,"Справка и Движение д/с. Спасибо Вам за такое прекрасное приложение!!!
Есть одна просьба к справке о доступном остатке, мне нужна была эта справка для визы и посольство требовало остаток по карте в рублях переведённый в евро на момент выдачи справки. Если бы  в справке автоматически указывался остаток не только в рублях ,но и  в долларах и евро переведённый на момент выдачи справки , я был бы очень вам благодарен,что бы не ехать в офис за ней.
Подписывайте справки электронной цифровой подписью, распечатанную подпись и Печать на принтере во многих местах не принимают( требуют оригинал печати и подписи)!
Если приложение Сбербанк открыто и производились какие- то операции ( списание пополнение д/с), что бы увидеть изменение приходиться закрывать приложение и входить в него заново , сделайте возможность просто обновить экран в приложении и увидеть изменения по движению д/с.
Сделайте возможность упорядочить Карты и вклады , в каком порядке надо пользователю !",Развитие лояльности в МП СБОЛ,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,Автопереводы,"['Автопереводы', 'ЕФС Выписки и справки. Mobile', 'Развитие лояльности в МП СБОЛ']"
29,"Кричат на каждом углу про искусственный интеллект, по факту по телефону «умная» помощница не может ничего и пересылает тебя на IVR, откуда выпилили вариант соединения с живым оператором. 
В чате поддержка тоже не может ничего - говорит, идите в офис. Хотя вопрос был простой - от кого пришёл перевод.
То есть любой вопрос, который я сама не могу прочитать на их сайте - иди в офис. По факту поддержка просто исчезла, и любой может отправить тебе деньги непонятно за что, подставить перед налоговой - ну а ты или в офис.",Текстовый чат;Мессенджер,"Искусственный интеллект - по факту теперь нет поддержки совсем Кричат на каждом углу про искусственный интеллект, по факту по телефону «умная» помощница не может ничего и пересылает тебя на IVR, откуда выпилили вариант соединения с живым оператором. 
В чате поддержка тоже не может ничего - говорит, идите в офис. Хотя вопрос был простой - от кого пришёл перевод.
То есть любой вопрос, который я сама не могу прочитать на их сайте - иди в офис. По факту поддержка просто исчезла, и любой может отправить тебе деньги непонятно за что, подставить перед налоговой - ну а ты или в офис.",Текстовый чат,Текстовый чат,Sberbank ID B2C,СБОЛ. Классические переводы,Текстовый чат,"['ПДВ в Digital', 'Автопереводы', 'Текстовый чат']"
30,Вылетает после обновления! iPhone 7,iOS Platform;iOS Release Engineer,Вылетает после обновления! Вылетает после обновления! iPhone 7,iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Release Engineer,"['iOS Release Engineer', 'iOS Platform']"
32,После последнего обновления на моем iPhone 6 и на iPhone 6 моей супруги при входе в приложение вместо вкладов отображает крутящееся колесо (поиск вкладов). Если выйти и зайти снова - отображает вклад. Теперь постоянно по два раза входить?,iOS Platform;iOS Release Engineer,Плохое обновление После последнего обновления на моем iPhone 6 и на iPhone 6 моей супруги при входе в приложение вместо вкладов отображает крутящееся колесо (поиск вкладов). Если выйти и зайти снова - отображает вклад. Теперь постоянно по два раза входить?,iOS Platform,iOS Platform,iOS Platform,iOS Platform,ВС.МП вклады,"['ВС.МП вклады', 'iOS Release Engineer', 'iOS Platform']"
33,"Во всех банках можно пополнить карту картой стороннего банка без комиссии, а сбере все не как у людей, за все надо содрать деньги!",Sberbank ID B2C;ЕФС.Платежи МП;Платежи. Штрафы;СБОЛ. Классические переводы,"Комиссия Во всех банках можно пополнить карту картой стороннего банка без комиссии, а сбере все не как у людей, за все надо содрать деньги!",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,СБОЛ. Классические переводы,"['Sberbank ID B2C', 'СБОЛ. Классические переводы', 'ЕФС.Автоплатежи']"
34,Он ужасно зависает!!!,iOS Platform;iOS Release Engineer,Ди7373838 Он ужасно зависает!!!,Госуслуги,Data Driven App,Sberbank ID B2C,СБОЛ. Классические переводы,,[]
36,"Здравствуйте, очень удобное приложение, но большая просьба исправить ошибки, после обновления не удобно контролировать анализ финансов, перестали отображаться категории зачисление зарплаты, зачисление пенсии, и так далее. Также желательно обратно сгруп пивать коммунальные платежи, чтобы удобно было контролировать итоговую сумму расходов на телефон, интернет. Заранее большое спасибо",iOS Release Engineer;PFM Бюджет,"Исправление ошибок Здравствуйте, очень удобное приложение, но большая просьба исправить ошибки, после обновления не удобно контролировать анализ финансов, перестали отображаться категории зачисление зарплаты, зачисление пенсии, и так далее. Также желательно обратно сгруп пивать коммунальные платежи, чтобы удобно было контролировать итоговую сумму расходов на телефон, интернет. Заранее большое спасибо",iOS Platform,ЕФС.Платежи МП,Sberbank ID B2C,ЕФС.Платежи МП,PFM Бюджет,"['PFM Бюджет', 'Развитие лояльности в МП СБОЛ', 'iOS Release Engineer']"
37,"На айфонXr очень лагает, долго загружается приложение, а иногда и вылетает! С другими приложениями такого не бывает! Плюс ко всему требует включить геолокацию( она включена и доступна для приложения). Не показывает операции с бонусами СПАСИБО( а я из проводил). Исправляйте",iOS Platform;iOS Release Engineer;Развитие лояльности в МП СБОЛ,"Лагает На айфонXr очень лагает, долго загружается приложение, а иногда и вылетает! С другими приложениями такого не бывает! Плюс ко всему требует включить геолокацию( она включена и доступна для приложения). Не показывает операции с бонусами СПАСИБО( а я из проводил). Исправляйте",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,Развитие лояльности в МП СБОЛ,"['Развитие лояльности в МП СБОЛ', 'iOS Platform']"
38,Добрый день! Очень не хватает в приложении возможности делать досрочное погашение с уменьшением срока кредита.,Mobile Online POS (Розничный кредит);[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы);Цифровой Кредит,Досрочное погашение кредита Добрый день! Очень не хватает в приложении возможности делать досрочное погашение с уменьшением срока кредита.,Цифровой Кредит,Цифровой Кредит,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),Цифровой Кредит,Цифровой Кредит,"['Цифровой Кредит', 'Mobile Online POS (Розничный кредит)', '[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы)']"
40,"Здравствуйте, верните пожалуйста функцию скрытие не часто используемых карт... для того чтобы меньше посторонние глаза глядели на мои финансы... а то так открываешь где-нибудь в общественном месте или в присутствие третих лиц и все сразу глазами косятся на то что в приложении указано (((",iOS Platform;DDA Profile;Редактируемый профиль клиента;iOS Release Engineer,"😕 Здравствуйте, верните пожалуйста функцию скрытие не часто используемых карт... для того чтобы меньше посторонние глаза глядели на мои финансы... а то так открываешь где-нибудь в общественном месте или в присутствие третих лиц и все сразу глазами косятся на то что в приложении указано (((",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,iOS Platform,iOS Platform,"['PFM Бюджет', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
41,"Не нравится , что не возможно установить виджет в телефоне, требует подключения мобильного банка. А ведь на андроиде всё нормально и без оплат. Также хочу уточнить, когда отправка смс с текстом «перевод _номер Карты_сумма» будет возможна не только на платный номер 900, а ещё и на стандартный федеральный",Global Navigation;Мессенджер;iOS Platform,"Виджет Не нравится , что не возможно установить виджет в телефоне, требует подключения мобильного банка. А ведь на андроиде всё нормально и без оплат. Также хочу уточнить, когда отправка смс с текстом «перевод _номер Карты_сумма» будет возможна не только на платный номер 900, а ещё и на стандартный федеральный",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,iOS Platform,СБОЛ. Классические переводы,"['ПДВ в Digital', 'Автопереводы', 'Телеком']"
42,"Айфон 7. Три раза произошёл неприятный случай- при входе в приложение (как я заметил с третьего раза) телефон теряет сотовую связь и очень долго не может её найти. Сначала я думал проблема в телефоне, но оказалось это как то связано с вашим приложением.",iOS Platform,"Теряется сотовая связь. Айфон 7. Три раза произошёл неприятный случай- при входе в приложение (как я заметил с третьего раза) телефон теряет сотовую связь и очень долго не может её найти. Сначала я думал проблема в телефоне, но оказалось это как то связано с вашим приложением.",iOS Platform,iOS Platform,Sberbank ID B2C,Текстовый чат,iOS Platform,"['Мессенджер', 'Текстовый чат', 'iOS Platform']"
43,"Вопрос к разработчику ПО и управлению банка:
Единственный банк в котором для заказа крупной суммы для снятия в кассе нужно посетить отделения дважды: для заказа и самого снятия!
По телефону ЗАКАЗ НЕ ВОЗМОЖЕН!!!!
ИСПРАВЛЯЙТЕСЬ!!!!",iOS Platform;ЕФС.Платежи МП,"Заказ наличных Вопрос к разработчику ПО и управлению банка:
Единственный банк в котором для заказа крупной суммы для снятия в кассе нужно посетить отделения дважды: для заказа и самого снятия!
По телефону ЗАКАЗ НЕ ВОЗМОЖЕН!!!!
ИСПРАВЛЯЙТЕСЬ!!!!",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,ЕФС.Платежи МП,iOS Platform,[]
45,Поправьте пожалуйста ночной виджет. Черное на темно-сером читается не очень.,Global Navigation;iOS Platform,Поправьте виджет Поправьте пожалуйста ночной виджет. Черное на темно-сером читается не очень.,iOS Platform,iOS Platform,СБОЛ. Классические переводы,iOS Platform,Телеком,"['Телеком', 'Global Navigation', 'iOS Platform']"
46,"Не могу пополнить проездную карту «Социальная система». Появляется сообщение: «Оплата временно недоступна. Попробуйте позже». А когда пытаюсь через какое-то время снова пополнить счёт, ничего не выходит... хотя с другого телефона получается спокойно.",iOS Platform;ЕФС.Платежи МП,"Нет возможности пополнить проездную карту Не могу пополнить проездную карту «Социальная система». Появляется сообщение: «Оплата временно недоступна. Попробуйте позже». А когда пытаюсь через какое-то время снова пополнить счёт, ничего не выходит... хотя с другого телефона получается спокойно.",Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,iOS Platform,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'Дебетовые карты в мобильном приложении']"
47,"Не могу входить в приложение по отпечатку пальца, раньше все работало. Теперь приходится каждый раз вводить пароль. В настройках все включено, но это не работает. Что делать???",iOS Platform;iOS Release Engineer,"Перестал входить по отпечатку пальца Не могу входить в приложение по отпечатку пальца, раньше все работало. Теперь приходится каждый раз вводить пароль. В настройках все включено, но это не работает. Что делать???",iOS Platform,iOS Platform,Sberbank ID B2C,iOS Platform,DDA Profile,"['DDA Profile', 'iOS Platform']"
49,После обновления ios не показывает уведомления значок есть а уведомления нету,iOS Release Engineer;PUSH IOS;iOS Platform,не показывает уведомления После обновления ios не показывает уведомления значок есть а уведомления нету,iOS Platform,iOS Platform,iOS Platform,iOS Platform,Sberbank ID B2C,"['Sberbank ID B2C', 'PUSH IOS', 'iOS Release Engineer']"
50,Вы что там вообще ку ку!,Sberbank ID B2C;ЕФС.Платежи МП;iOS Release Engineer,Подписка платная очередное дно Вы что там вообще ку ку!,Госуслуги,Global Navigation,Sberbank ID B2C,iOS Platform,iOS Platform,[]
51,Новое обновление зависает после входа в приложение после второго или третего касания - что случилось,iOS Release Engineer;iOS Platform,Новое обновление зависает на iPhone после каждого в второго или третьего шага Новое обновление зависает после входа в приложение после второго или третего касания - что случилось,iOS Release Engineer,iOS Release Engineer,iOS Platform,iOS Platform,iOS Platform,"['iOS Release Engineer', 'iOS Platform', 'Global Navigation']"
54,"После обновления можно легко посмотреть номер карты и cvs. У вас ум то есть, вы такое делаете??? А если кому то по башке дадут, зайдут в приложение и мошенники все узнают, вы потом будете деньги возмещать? Уберите!",iOS Release Engineer;Редактируемый профиль клиента;DDA Profile,"У вас ум есть??? После обновления можно легко посмотреть номер карты и cvs. У вас ум то есть, вы такое делаете??? А если кому то по башке дадут, зайдут в приложение и мошенники все узнают, вы потом будете деньги возмещать? Уберите!",Дебетовые карты в мобильном приложении,Плановый и досрочный перевыпуск дебетовых карт,СБОЛ. Классические переводы,СБОЛ. Классические переводы,iOS Release Engineer,"['СБОЛ. Классические переводы', 'Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит']"
55,Куда делась информация об остатке в карте после каждой покупки и транзакции в разделе Истории платежей??? Это вызывает некие сомнения о прозрачности !!! Верните остаток по карте в истории покупок (в динамике)!,iOS Release Engineer;PFM Бюджет;История операций,Остаток по карте в ИСТОРИИ Куда делась информация об остатке в карте после каждой покупки и транзакции в разделе Истории платежей??? Это вызывает некие сомнения о прозрачности !!! Верните остаток по карте в истории покупок (в динамике)!,Дебетовые карты в мобильном приложении,Дебетовые карты в мобильном приложении,Sberbank ID B2C,СБОЛ. Классические переводы,Плановый и досрочный перевыпуск дебетовых карт,"['Плановый и досрочный перевыпуск дебетовых карт', 'Цифровой Кредит', 'Дебетовые карты в мобильном приложении']"
57,Не хватает темного режима в приложении. Прорабы запилить это...,iOS Release Engineer;iOS Platform,Темный режим Не хватает темного режима в приложении. Прорабы запилить это...,Самозанятые,iOS Platform,Global Navigation,Global Navigation,iOS Platform,[]
58,Не показывает истории операций денежных средств,iOS Platform;История операций,Баги Не показывает истории операций денежных средств,История операций,История операций,Sberbank ID B2C,Платежи. Штрафы,История операций,[]
61,Почему не работает Face ID???,iOS Platform,Проблема Почему не работает Face ID???,iOS Platform,iOS Platform,iOS Platform,iOS Platform,iOS Platform,[]
62,"При подтверждении перевода/платежа вылетает до начального экрана. Каждый раз.
При пополнении счета приходится перезаходить, что бы сумма на остатке обновилась.",iOS Platform;PFM Бюджет;История операций,"Вылет При подтверждении перевода/платежа вылетает до начального экрана. Каждый раз.
При пополнении счета приходится перезаходить, что бы сумма на остатке обновилась.",СБОЛ. Классические переводы,СБОЛ. Классические переводы,Sberbank ID B2C,[ЕФС].Кредитные карты.Космонавты (Доп. услуги и сервисы),iOS Platform,"['ПДВ в Digital', 'Автопереводы', 'ЕФС Выписки и справки. Mobile']"
63,"После обновления нельзя сворачивать виджеты вверху приложения (действия,истории,финансы) от этого сразу 1/3 экрана занята и отображается не вся инфа как ранее. 
Верните возможность сворачивания!!!",iOS Release Engineer;iOS Platform,"Приложение После обновления нельзя сворачивать виджеты вверху приложения (действия,истории,финансы) от этого сразу 1/3 экрана занята и отображается не вся инфа как ранее. 
Верните возможность сворачивания!!!",Global Navigation,Global Navigation,Global Navigation,Global Navigation,iOS Release Engineer,"['Телеком', 'PFM Бюджет', 'iOS Release Engineer']"
